"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 12:45:41 GMT 2024","Tue Apr 23 12:45:41 GMT 2024","168","","api.test.get.GetBoardsValidationTest","","api.test.get.GetBoardsValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [2] api.arguments.holders.AuthValidationArgumentsHolder@a538180",""
"broken","Tue Apr 23 12:45:50 GMT 2024","Tue Apr 23 12:45:50 GMT 2024","0","","ui.GitHubSearchTest","","ui.GitHubSearchTest","","GitHubSearchTest",""
"passed","Tue Apr 23 12:45:34 GMT 2024","Tue Apr 23 12:45:36 GMT 2024","2414","","api.test.delete.DeleteBoardTest","","api.test.delete.DeleteBoardTest","checkDeleteBoard","checkDeleteBoard()",""
"passed","Tue Apr 23 12:45:39 GMT 2024","Tue Apr 23 12:45:39 GMT 2024","719","","api.test.get.GetBoardsTest","","api.test.get.GetBoardsTest","checkGetBoards","checkGetBoards()",""
"passed","Tue Apr 23 12:45:32 GMT 2024","Tue Apr 23 12:45:32 GMT 2024","361","","api.test.create.CreateBoardValidationTest","","api.test.create.CreateBoardValidationTest","checkCreateBoardWithInvalidAuth","checkCreateBoardWithInvalidAuth(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@26fee641",""
"passed","Tue Apr 23 12:45:45 GMT 2024","Tue Apr 23 12:45:45 GMT 2024","144","","api.test.update.UpdateCardIdValidationTest","","api.test.update.UpdateCardIdValidationTest","checkUpdateCardWithInvalidId","checkUpdateCardWithInvalidId(CardIdValidationArgumentsHolder) [1] api.arguments.holders.CardIdValidationArgumentsHolder@6c5a347d",""
"passed","Tue Apr 23 12:45:33 GMT 2024","Tue Apr 23 12:45:34 GMT 2024","1143","","api.test.create.CreateCardTest","","api.test.create.CreateCardTest","createNewCard","createNewCard()",""
"passed","Tue Apr 23 12:45:42 GMT 2024","Tue Apr 23 12:45:42 GMT 2024","144","","api.test.get.GetCardIdValidationTest","","api.test.get.GetCardIdValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [2] api.arguments.holders.AuthValidationArgumentsHolder@16c2c396",""
"passed","Tue Apr 23 12:45:36 GMT 2024","Tue Apr 23 12:45:37 GMT 2024","156","","api.test.delete.DeleteBoardValidationTest","","api.test.delete.DeleteBoardValidationTest","checkDeleteBoardWithInvalidId","checkDeleteBoardWithInvalidId(BoardIdValidationArgumentsHolder) [1] api.arguments.holders.BoardIdValidationArgumentsHolder@65b639e1",""
"passed","Tue Apr 23 12:45:44 GMT 2024","Tue Apr 23 12:45:44 GMT 2024","167","","api.test.update.UpdateBoardValidationTest","","api.test.update.UpdateBoardValidationTest","checkUpdateBoardWithInvalidId","checkUpdateBoardWithInvalidId(BoardIdValidationArgumentsHolder) [1] api.arguments.holders.BoardIdValidationArgumentsHolder@1de36da2",""
"passed","Tue Apr 23 12:45:42 GMT 2024","Tue Apr 23 12:45:42 GMT 2024","125","","api.test.get.GetCardIdValidationTest","","api.test.get.GetCardIdValidationTest","checkGetBoardWithInvalidAuth","checkGetBoardWithInvalidAuth(AuthValidationArgumentsHolder) [3] api.arguments.holders.AuthValidationArgumentsHolder@40557b00",""
"passed","Tue Apr 23 12:45:40 GMT 2024","Tue Apr 23 12:45:40 GMT 2024","431","","api.test.get.GetBoardsTest","","api.test.get.GetBoardsTest","checkGetCards","checkGetCards()",""
"passed","Tue Apr 23 12:45:44 GMT 2024","Tue Apr 23 12:45:44 GMT 2024","139","","api.test.update.UpdateBoardValidationTest","","api.test.update.UpdateBoardValidationTest","checkUpdateBoardWithAnotherUserCredentials","checkUpdateBoardWithAnotherUserCredentials()",""
"passed","Tue Apr 23 12:45:45 GMT 2024","Tue Apr 23 12:45:46 GMT 2024","166","","api.test.update.UpdateCardIdValidationTest","","api.test.update.UpdateCardIdValidationTest","checkUpdateCardWithInvalidId","checkUpdateCardWithInvalidId(CardIdValidationArgumentsHolder) [2] api.arguments.holders.CardIdValidationArgumentsHolder@2fa1f38b",""
